Fecha,Hora,ID,temperatura,humedad
2025-08-05,07:58:14.570,250,21.4,84.0
2025-08-05,08:00:14.586,251,21.4,84.0
2025-08-05,08:02:14.602,252,21.4,84.0
2025-08-05,08:04:14.619,253,21.4,84.0
2025-08-05,08:06:14.635,254,21.4,84.0
2025-08-05,08:08:14.549,255,21.4,84.0
2025-08-05,08:10:14.564,256,21.4,84.0
2025-08-05,08:12:14.478,257,21.5,84.0
2025-08-05,08:14:14.494,258,21.5,84.0
2025-08-05,08:16:14.510,259,21.4,84.0
2025-08-05,08:18:14.527,260,21.5,84.0
2025-08-05,08:20:14.543,261,21.4,84.0
2025-08-05,08:22:14.665,262,21.4,84.0
2025-08-05,08:24:14.698,263,21.4,84.0
2025-08-05,08:26:14.700,264,21.5,84.0
2025-08-05,08:28:14.615,265,21.5,84.0
2025-08-05,08:30:14.628,266,21.5,84.0
2025-08-05,08:32:14.645,267,21.5,84.0
2025-08-05,08:34:14.556,268,21.5,84.0
2025-08-05,08:36:14.574,269,21.5,84.0
2025-08-05,08:38:14.694,270,21.5,84.0
2025-08-05,08:40:14.606,271,21.5,84.0
2025-08-05,08:42:14.623,272,21.5,84.0
2025-08-05,08:44:14.641,273,21.4,84.0
2025-08-05,08:46:14.657,274,21.5,84.0
2025-08-05,08:48:14.672,275,21.4,84.0
2025-08-05,08:50:14.588,276,21.4,84.0
2025-08-05,08:52:14.602,277,21.5,84.0
2025-08-05,08:54:14.723,278,21.5,84.0
2025-08-05,08:56:14.635,279,21.5,84.0
2025-08-05,08:58:14.655,280,21.5,84.0
2025-08-05,09:00:14.774,281,21.3,84.0
2025-08-05,09:02:14.791,282,21.5,84.0
2025-08-05,09:04:14.601,283,21.5,84.0
2025-08-05,09:06:14.615,284,21.5,84.0
2025-08-05,09:08:14.736,285,21.5,84.0
2025-08-05,09:10:14.648,286,21.5,84.0
2025-08-05,09:12:14.769,287,21.5,84.0
2025-08-05,09:14:14.788,288,21.5,84.0
2025-08-05,09:16:14.699,289,21.5,84.0
2025-08-05,09:18:14.714,290,21.7,84.0
2025-08-05,09:20:14.731,291,21.6,84.0
2025-08-05,09:22:14.647,292,21.4,84.0
2025-08-05,09:24:14.663,293,21.5,84.0
2025-08-05,09:26:14.989,294,21.5,84.0
2025-08-05,09:28:14.798,295,21.4,84.0
2025-08-05,09:30:14.815,296,21.5,84.0
2025-08-05,09:32:14.831,297,21.4,84.0
2025-08-05,09:34:14.849,298,21.5,84.0
2025-08-05,09:36:14.864,299,21.5,84.0
2025-08-05,09:38:14.880,300,21.5,84.0
